Method,Fold1,Fold2,Fold3,Fold4,Fold5,Mean_RH,Std_RH
KATS-Ensemble,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000
B5-DecTree,0.9921,0.9938,0.9871,0.9871,0.9921,0.9904,0.0028
B4-LogReg,0.9770,0.9787,0.9680,0.9720,0.9731,0.9738,0.0038
B3-Composite,0.5356,0.5339,0.5407,0.5351,0.5426,0.5376,0.0034
B1-Criticality,0.5373,0.5407,0.5395,0.5395,0.5443,0.5403,0.0023
