Alpha,Recall_High,Macro_F1,Kappa,Note
1,0.9751,0.9672,0.9512,
2,0.9814,0.9668,0.9506,
3,0.9820,0.9656,0.9490,
5,0.9869,0.9648,0.9481,SELECTED — optimal Pareto point (Recall gain < F1 cost beyond this)
7,0.9883,0.9621,0.9440,
9,0.9896,0.9623,0.9446,
12,0.9876,0.9601,0.9415,
