Method,Recall_High,Precision_High,Macro_F1,Kappa,McNemar_p,Note
KATS-Ensemble,0.9848,0.9635,0.9647,0.9481,reference,Best balanced F1+Kappa
B7-LGB,0.9869,0.9642,0.9648,0.9481,8.94e-01,NOT significant vs KATS — ties on F1+Kappa
B6-RF,0.9565,0.9795,0.9548,0.9330,7.12e-05,Significant
B5-DecTree,0.9675,0.9466,0.9434,0.9172,1.40e-11,Significant
B4-LogReg,1.0000,0.9596,0.9028,0.8510,7.48e-48,DEGENERATE — predicts all High (Precision=0.96 but F1=0.90)
B9-SLAAware,0.9033,0.6852,0.5065,0.4417,0.00e+00,Significant
B8-BorgSched,0.9537,0.4409,0.4546,0.3542,0.00e+00,Significant
B3-Composite,1.0000,0.3840,0.4137,0.2784,0.00e+00,DEGENERATE — predicts all High (F1=0.41)
B1-Criticality,0.9537,0.4409,0.4546,0.3542,0.00e+00,Significant
